repository_normalized,url,source_count,source_catalogues,status
knowlet/decision-theoretic-mixture-of-agents,https://github.com/knowlet/decision-theoretic-mixture-of-agents,1,"[""thevibeworks/awesome-typesafe-jev""]",unverified_outgoing_link_candidate
knowlet/jev-agentworld-web-simulator,https://github.com/knowlet/jev-agentworld-web-simulator,1,"[""mabodx/awesome-jev""]",unverified_outgoing_link_candidate
knowlet/jevguard-nsfa,https://github.com/knowlet/jevguard-nsfa,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
knowlet/jevlens,https://github.com/knowlet/jevlens,4,"[""daftAI2026/awesome-jev"", ""heyjunpenn/awesome-jev"", ""mabodx/awesome-jev"", ""thevibeworks/awesome-typesafe-jev""]",unverified_outgoing_link_candidate
knuckles92/openwhisper,https://github.com/knuckles92/openwhisper,3,"[""BeatAPI/awesome-jev"", ""logicrw/awesome-jev-projects"", ""onmyway133/awesome-jev""]",unverified_outgoing_link_candidate
ko6bxl/jev-bot,https://github.com/ko6bxl/jev-bot,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
koala73/worldmonitor,https://github.com/koala73/worldmonitor,4,"[""Li-Evan/awesome-jev"", ""cobanov/awesome-jev"", ""kydlikebtc/awesome-jev"", ""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
kobashi/jev-playground,https://github.com/kobashi/jev-playground,1,"[""Yifan-Lan/awesome-jev-robustness""]",unverified_outgoing_link_candidate
kofanlabs/jev-browser-chrome,https://github.com/kofanlabs/jev-browser-chrome,1,"[""mabodx/awesome-jev""]",unverified_outgoing_link_candidate
kofanlabs/typesafe-computer-use-windows,https://github.com/kofanlabs/typesafe-computer-use-windows,1,"[""mabodx/awesome-jev""]",unverified_outgoing_link_candidate
kofujimura/jev-obniz-led,https://github.com/kofujimura/jev-obniz-led,1,"[""daftAI2026/awesome-jev""]",unverified_outgoing_link_candidate
koh11235813/skills,https://github.com/koh11235813/skills,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
